reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.99,0.004514420790858599
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.01,5.133352179973162e-4
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.025,6.233892115744486e-4
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.05,7.319076167034368e-4
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.1,8.843820125307537e-4
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.15,0.001007286401325166
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.2,0.0011106294463699572
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.25,0.0012049740069657146
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.3,0.0012904773344887177
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.35,0.0013716239476105779
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.4,0.0014509548626221915
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.45,0.0015388000538644612
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.5,0.0016301143396884009
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.55,0.0017339084251072909
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.6,0.0018318895076118251
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.65,0.0019402902379071114
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.7,0.0020596587268976794
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.75,0.0021898475409435954
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.8,0.0023257762839645926
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.85,0.002488422820658779
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.9,0.0027459797617615236
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.95,0.00321259807578461
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.975,0.0036518336787166395
2026-03-28,04,2,wk inc rsv prop ed visits,2026-04-11,quantile,0.99,0.004143599446713409
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.01,3.6125227095856077e-4
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.025,4.464832052471128e-4
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.05,5.560612365270472e-4
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.1,6.893806723827888e-4
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.15,7.968894098151344e-4
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.2,8.852496476201487e-4
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.25,9.669813190669315e-4
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.3,0.0010555954352808304
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.35,0.0011281379908319727
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.4,0.0012090721692755713
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.45,0.00129310226045965
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.5,0.0013729023293474123
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.55,0.0014571638022410707
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.6,0.0015382791011938895
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.65,0.0016503927965927198
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.7,0.001751773108496928
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.75,0.0018785963536409322
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.8,0.002030982826719045
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.85,0.002206355186030243
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.9,0.002464207676224201
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.95,0.002905460577151835
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.975,0.0033856730556110575
2026-03-28,04,3,wk inc rsv prop ed visits,2026-04-18,quantile,0.99,0.0038953572177715663
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.01,0.0040264682710788756
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.025,0.0042728019720624484
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.05,0.00451819600755771
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.1,0.004763469119579501
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.15,0.005008621397487478
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.2,0.005171989163451277
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.25,0.005335303291471723
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.3,0.005498563807960607
2026-03-28,05,-1,wk inc rsv prop ed visits,2026-03-21,quantile,0.35,0.005661770739312382
